S/C,U_A,U_A/(U_A+U_B)
0.086177388,0,0
0.109808492,0.5,0.00625
0.115816809,1,0.0125
0.119976804,1.5,0.01875
0.123250805,2,0.025
0.125986454,2.5,0.03125
0.128353904,3,0.0375
0.130450682,3.5,0.04375
0.132338503,4,0.05
0.13405919,4.5,0.05625
0.135642545,5,0.0625
0.137110644,5.5,0.06875
0.138480347,6,0.075
0.139764855,6.5,0.08125
0.140974719,7,0.0875
0.142118524,7.5,0.09375
0.143203353,8,0.1
0.144235132,8.5,0.10625
0.14521887,9,0.1125
0.146158846,9.5,0.11875
0.147058747,10,0.125
0.147921772,10.5,0.13125
0.148750721,11,0.1375
0.149548056,11.5,0.14375
0.150315957,12,0.15
0.151056361,12.5,0.15625
0.151771003,13,0.1625
0.152461438,13.5,0.16875
0.153129068,14,0.175
0.153775164,14.5,0.18125
0.154400877,15,0.1875
0.155007257,15.5,0.19375
0.155595263,16,0.2
0.156165772,16.5,0.20625
0.156719592,17,0.2125
0.157257464,17.5,0.21875
0.157780074,18,0.225
0.158288055,18.5,0.23125
0.158781993,19,0.2375
0.159262433,19.5,0.24375
0.159729881,20,0.25
0.160184808,20.5,0.25625
0.160627654,21,0.2625
0.161058827,21.5,0.26875
0.161478713,22,0.275
0.161887669,22.5,0.28125
0.162286032,23,0.2875
0.162674118,23.5,0.29375
0.163052222,24,0.3
0.163420622,24.5,0.30625
0.163779581,25,0.3125
0.164129345,25.5,0.31875
0.164470145,26,0.325
0.1648022,26.5,0.33125
0.165125715,27,0.3375
0.165440885,27.5,0.34375
0.165747892,28,0.35
0.16604691,28.5,0.35625
0.1663381,29,0.3625
0.166621617,29.5,0.36875
0.166897605,30,0.375
0.167166201,30.5,0.38125
0.167427534,31,0.3875
0.167681724,31.5,0.39375
0.167928887,32,0.4
0.168169129,32.5,0.40625
0.168402552,33,0.4125
0.168629249,33.5,0.41875
0.168849311,34,0.425
0.169062821,34.5,0.43125
0.169269855,35,0.4375
0.169470487,35.5,0.44375
0.169664784,36,0.45
0.169852808,36.5,0.45625
0.170034617,37,0.4625
0.170210263,37.5,0.46875
0.170379795,38,0.475
0.170543257,38.5,0.48125
0.170700688,39,0.4875
0.170852124,39.5,0.49375
0.170997595,40,0.5
0.171137128,40.5,0.50625
0.171270746,41,0.5125
0.171398468,41.5,0.51875
0.171520307,42,0.525
0.171636276,42.5,0.53125
0.171746379,43,0.5375
0.171850619,43.5,0.54375
0.171948995,44,0.55
0.1720415,44.5,0.55625
0.172128125,45,0.5625
0.172208855,45.5,0.56875
0.172283672,46,0.575
0.172352552,46.5,0.58125
0.172415469,47,0.5875
0.17247239,47.5,0.59375
0.172523278,48,0.6
0.172568091,48.5,0.60625
0.172606784,49,0.6125
0.172639305,49.5,0.61875
0.172665595,50,0.625
0.172685593,50.5,0.63125
0.17269923,51,0.6375
0.17270643,51.5,0.64375
0.172707114,52,0.65
0.172701193,52.5,0.65625
0.172688573,53,0.6625
0.17266915,53.5,0.66875
0.172642816,54,0.675
0.172609451,54.5,0.68125
0.172568929,55,0.6875
0.172521112,55.5,0.69375
0.172465854,56,0.7
0.172402997,56.5,0.70625
0.172332374,57,0.7125
0.172253801,57.5,0.71875
0.172167086,58,0.725
0.172072019,58.5,0.73125
0.171968376,59,0.7375
0.171855917,59.5,0.74375
0.171734382,60,0.75
0.171603492,60.5,0.75625
0.171462948,61,0.7625
0.171312426,61.5,0.76875
0.171151576,62,0.775
0.17098002,62.5,0.78125
0.170797348,63,0.7875
0.170603116,63.5,0.79375
0.170396842,64,0.8
0.170177999,64.5,0.80625
0.169946014,65,0.8125
0.169700259,65.5,0.81875
0.169440046,66,0.825
0.169164617,66.5,0.83125
0.168873137,67,0.8375
0.168564681,67.5,0.84375
0.168238223,68,0.85
0.167892617,68.5,0.85625
0.16752658,69,0.8625
0.167138669,69.5,0.86875
0.166727253,70,0.875
0.166290474,70.5,0.88125
0.165826209,71,0.8875
0.165332009,71.5,0.89375
0.164805029,72,0.9
0.16424194,72.5,0.90625
0.1636388,73,0.9125
0.162990892,73.5,0.91875
0.162292505,74,0.925
0.161536612,74.5,0.93125
0.160714419,75,0.9375
0.159814694,75.5,0.94375
0.158822729,76,0.95
0.157718661,76.5,0.95625
0.156474617,77,0.9625
0.155049461,77.5,0.96875
0.153378181,78,0.975
0.151347351,78.5,0.98125
0.148725213,79,0.9875
0.144870225,79.5,0.99375
0.129266081,80,1
